schoolcampus,dbn,bldg_code
RONALD EDMONDS LEARNING CENTER II(BROOKLYN),17K484,K012
HS OF TELECOMMUNICATION ARTS & TECHNOLOGY(BS),20K485,K485
BROOKLYN PREPARATORY HS(BN),14K488,K650
FORT HAMILTON HS(BS),20K490,K490
BROOKLYN HS FOR LAW & TECHNOLOGY(BN),16K498,K987
ACORN COMMUNITY HS(BN),13K499,K909
FDNY HS FOR FIRE & LIFE SAFETY(BN),19K502,K435
HS FOR CIVIL RIGHTS(BN),19K504,K435
FRANKLIN DELANO ROOSEVELT HS(BS),20K505,K505
PERFORMING ARTS & TECHNOLOGY HS(PATHS)(BN),19K507,K435
WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HS-WATCH(BROOKLYN),19K510,K435
CONSELYEA PREPARATORY SCHOOL (BN),14K517,K577
LEADERSHIP PREP BEDFORD STUYVESANT CHARTER SCHOOL(BN),84K517,K258
COBBLE HILL SCHOOL OF AMERICAN STUDIES(BS),15K519,K804
IS/JHS 271(BN),23K271,K137
INTERNATIONAL HS@PROSPECT HEIGHTS(BS),17K524,K440
PROSPECT HEIGHTS EVENING M/W(BS),73K903,K440
PROSPECT HEIGHTS EVENING T/R(BS),73K904,K440
PROSPECT HEIGHTS HS(BS),17K440,K440
EDWARD R MURROW HS(BS),21K525,K525
THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP(BROOKLYN),17K528,K440
WEST BROOKLYN COMMUNITY HS(BROOKLYN),79K529,K781
GEORGE W. WINGATE HS GED (BS),17K471,K470
GEORGE WINGATE HS(BS),17K470,K470
THE SCHOOL FOR HUMAN RIGHTS(BROOKLYN),17K531,K470
LEON M. GOLDSTEIN HS FOR THE SCIENCES(BS),22K535,K535
HS FOR YOUTH & COMMUNITY DEVELOPMENT@ERASMUS(BS),17K537,K465
HS FOR SERVICE & LEARNING@ERASMUS(BS),17K539,K465
JOHN DEWEY HS(BS),21K540,K540
"SCIENCE,TECH., & RESEARCH EARLY COLLEGE HS@ERASMUS-STAR(BROOKLYN)",17K543,K465
EBC HS FOR PUBLIC SERVICE BUSHWICK(BN),32K545,K913
HS FOR PUBLIC SERVICE HEROES OF TOMORROW(BS),17K546,K470
BROOKLYN ACADEMY OF SCIENCE & THE ENVIRONMENT BASE(BS),17K547,K440
BROOKLYN SCHOOL FOR MUSIC & THEATRE(BS),17K548,K440
BEDFORD STUYVESANT PREPARATORY HS(BN),13K575,K458
BROOKLYN ACADEMY HS(BN),13K553,K458
ALL CITY LEADERSHIP SECONDARY SCHOOL(BN),32K554,K554
BUSHWICK LEADERS HS FOR ACADEMIC EXCELLENCE(BN),32K556,K865
WILLIAMSBURG HS FOR ARCHITECTURE & DESIGN(BROOKLYN),14K558,K650
WILLIAMSBURG PREPARATORY SCHOOL(BROOKLYN),14K561,K650
EVERGREEN MIDDLE SCHOOL FOR URBAN EXPLORATION(BN),32K562,K296
IT TAKES A VILLAGE ACADEMY ITAVA(BS),18K563,K415
SAMUEL J. TILDEN HS(BROOKLYN),18K415,K415
BROOKLYN GENERATION SCHOOL(BS),18K566,K515
BROOKLYN THEATRE ARTS HS (BS),18K567,K515
KURT HAHN EXPEDITIONARY LEARNING SCHOOL(BS),18K569,K415
VICTORY COLLEGIATE HS (BS),18K576,K515
BROOKLYN BRIDGE ACADEMY(BS),18K578,K515
LYONS COMMUNITY SCHOOL(BN),14K586,K049
MEDGAR EVERS COLLEGE PREPARATORY SCHOOL(BS),17K590,K590
KHALIL GIBRAN INTERNATIONAL ACADEMY,15K592,K806
GOTHAM PROFESSIONAL ARTS ACADEMY(BN),16K594,K040
BEDFORD ACADEMY HS(BN),13K595,K994
CLARA BARTON HS(BS),17K600,K600
GEORGE WESTINGHOUSE CAREER & TECHNICAL EDUCATION HS(BN),13K605,K580
KINGS COLLEGIATE CHARTER SCHOOL(BS),84K608,K252
ORIGINS HIGH SCHOOL,22K611,K495
TRANSIT TECH CAREER & TECHNICAL EDUCATION HS(BROOKLYN),19K615,K615
BROOKLYN HS FOR LEADERSHIP & COMMUNITY SERVICE(BN),13K616,K117
CANARSIE HS(BS),18K500,K500
HS FOR INNOVATION IN ADVERTISING & MEDIA(BS),18K617,K500
WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION  HS(BROOKLYN),21K620,K620
ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL(BN),84K626,K055
PS 304(BROOKLYN),16K304,K304
BROOKLYN BROWNSTONE SCHOOL(BN),16K628,K035
CULTURAL ACADEMY FOR THE ARTS & SCIENCES(BS),18K629,K415
PROFESSIONAL PATHWAYS HIGH SCHOOL,22K630,K495
HS FOR MEDICAL PROFESSIONS(BS),18K633,K500
OLYMPUS ACADEMY(BS),18K635,K242
ACADEMY FOR CONSERVATION & THE ENVIRONMENT(BS),18K637,K515
HARRY VAN ARSDALE HS(BN),76K640,K650
HARRY VAN ARSDALE HS GED(BN),76K641,K650
URBAN ACTION ACADEMY(BROOKLYN),18K642,K500
ASPIRATIONS DIPLOMA PLUS HS(BN),23K646,K894
