latitude,longitude,school_name,school_no,gc,sw,enroll2022_21,enroll,dbn,black,hispanic,asian,multi,native_a,white,iep,poverty_no,grades_final_text,address,cic,yrly_cic_16_22,pct_chronic_absent,s_know_mh_re_ag,co_located,school_tag,split_skool,s_rr,school_type,lead_cbo_partner,school_psychologist_providing,provider,pct_temp_housing
40.645436,-74.082149,Curtis High School,R450,12.0,2.0,2455.0,2253.0,31R450,709.0,1003.0,173.0,23.0,7.0,285.0,445.0,"1,714","09,10,11,12",105 HAMILTON AVENUE,24.0,"0,5,4,2,2,2,9",31.0,87.0,,District,,71.875,High school,Children's Aid,0.0,Children's Aid Society,4.75763008
40.528152,-74.193431,Tottenville High School,R455,17.0,4.0,3726.0,3707.0,31R455,63.0,528.0,334.0,39.0,15.0,2692.0,853.0,"1,536","09,10,11,12",100 LUTEN AVENUE,40.0,"4,7,7,10,5,0,7",45.6,80.0,R455,District,,89.8407468423943,High school,,0.0,,2.02774815
40.588985,-74.130819,Susan E. Wagner High School,R460,14.0,2.0,3332.0,3224.0,31R460,309.0,994.0,573.0,34.0,21.0,1278.0,688.0,"1,874","09,10,11,12",1200 MANOR ROAD,74.0,"12,9,12,11,2,6,22",41.6,83.0,,District,,84.08136906683887,High school,,0.0,,2.96662543
40.61062,-74.087072,Concord High School,R470,2.0,1.0,177.0,165.0,31R470,66.0,78.0,2.0,3.0,1.0,15.0,60.0,145,"09,10,11,12",109 RHINE AVENUE,,,,94.0,,Transfer,,30.23255813953488,High school,,0.0,,2.92682927
40.64282,-74.079263,Ralph R. McKee Career and Technical Education High School,R600,3.8,1.2,838.0,768.0,31R600,204.0,399.0,22.0,7.0,7.0,119.0,274.0,586,"09,10,11,12",290 ST MARKS PLACE,4.0,"0,1,0,1,0,0,2",61.2,87.0,,District,,52.1497919556172,High school,,0.0,,3.4435261
40.568299,-74.117086,Staten Island Technical High School,R605,6.0,1.0,1336.0,1355.0,31R605,9.0,55.0,825.0,4.0,1.0,442.0,18.0,640,"09,10,11,12",485 CLAWSON STREET,24.0,"6,5,6,1,1,4,1",13.5,89.0,,District,,88.68343195266272,High school,,0.0,,0.66273934
40.62031,-74.164427,Staten Island School of Civic Leadership,R861,1.0,1.8,878.0,863.0,31R861,186.0,349.0,138.0,32.0,8.0,148.0,211.0,656,"PK,0K,01,02,03,04,05,06,07,08",280 REGIS DRIVE,6.0,"1,0,1,1,1,0,2",41.1,75.0,R861,District,,99.24528301886792,K-8,,0.0,,6.750571730000001
40.686424,-73.91043,P.S./I.S. 045 Horace E. Greene,K045,1.0,1.6,572.0,532.0,32K045,210.0,286.0,11.0,2.0,5.0,18.0,103.0,467,"0K,01,02,03,04,05,06,07,08,SE",84 SCHAEFER STREET,12.0,"0,2,2,5,2,0,1",54.7,82.0,,District,,88.42105263157895,K-8,,0.0,,12.90909052
40.693261,-73.921336,P.S. 075 Mayda Cortiella,K075,0.0,0.6,244.0,250.0,32K075,39.0,200.0,2.0,0.0,0.0,8.0,54.0,218,"PK,0K,01,02,03,04,05",95 GROVE STREET,3.0,"0,2,0,1,0,0,0",58.5,,,District,,,Elementary,,0.0,,23.48484844
40.700595,-73.917804,P.S. 086 The Irvington,K086,1.0,1.0,379.0,374.0,32K086,1.0,354.0,5.0,2.0,2.0,10.0,72.0,345,"0K,01,02,03,04,05",220 IRVING AVENUE,,,35.2,,,District,,,Elementary,,0.0,,36.06138229
